id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
29	keith abney (2019)	"<table><tr><td>Authors:</td><td>keith abney</td></tr><tr><td>Title:</td><td>ethics of colonization: arguments from existential risk</td></tr><tr><td>Source:</td><td>futures, 110, 60-63</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2019.02.014	-0.3505	-0.0087	3	195	8	11	0.9553	2019	11	0.9553
30	konrad szocik (2021a)	"<table><tr><td>Authors:</td><td>konrad szocik; rakhat abylkasymova</td></tr><tr><td>Title:</td><td>covid-19 pandemic and future global catastrophic risks as a challenge for health-care ethics</td></tr><tr><td>Source:</td><td>international journal of human rights in healthcare, 15(4), 340-350</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1108/ijhrh-12-2020-0107	-0.3643	0.0207	3	103	13	14	1.8298	2021	14	1.8298
31	julia kreienkamp (2020)	"<table><tr><td>Authors:</td><td>julia kreienkamp; tom pegram</td></tr><tr><td>Title:</td><td>governing complexity: design principles for the governance of complex global catastrophic risks</td></tr><tr><td>Source:</td><td>international studies review, 23(3), 779-806</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1093/isr/viaa074	-0.4277	0.0145	2	154	46	14	1.0533	2020	14	1.0533
32	christian munthe (2019)	"<table><tr><td>Authors:</td><td>christian munthe</td></tr><tr><td>Title:</td><td>the black hole challenge: precaution, existential risks and the problem of knowledge gaps</td></tr><tr><td>Source:</td><td>ethics, policy & environment, 22(1), 49-60</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1080/21550085.2019.1581415	-0.3836	-0.0058	3	144	7	15	1.3027	2019	15	1.3027
33	syed mustafa ali (2019)	"<table><tr><td>Authors:</td><td>syed mustafa ali</td></tr><tr><td>Title:</td><td>“white crisis” and/as “existential risk,” or the entangled apocalypticism of artificial intelligence</td></tr><tr><td>Source:</td><td>zygon, 54(1), 207-224</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1111/zygo.12498	-0.4182	-0.0398	1	203	10	20	1.7369	2019	20	1.7369
34	joseph gottlieb (2019)	"<table><tr><td>Authors:</td><td>joseph gottlieb</td></tr><tr><td>Title:</td><td>space colonization and existential risk</td></tr><tr><td>Source:</td><td>journal of the american philosophical association, 5(3), 306-320</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1017/apa.2019.12	-0.3635	0.0061	3	75	15	25	2.1711	2019	25	2.1711
35	stefan schubert (2019)	"<table><tr><td>Authors:</td><td>stefan schubert; lucius caviola; nadira s. faber</td></tr><tr><td>Title:</td><td>the psychology of existential risk: moral judgments about human extinction</td></tr><tr><td>Source:</td><td>scientific reports, 9(1)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1038/s41598-019-50145-9	-0.3825	0.0079	10	155	13	20	1.7369	2019	20	1.7369
36	benjamin s. bucknall (2022)	"<table><tr><td>Authors:</td><td>benjamin s. bucknall; shiri dori-hacohen</td></tr><tr><td>Title:</td><td>current and near-term ai as a potential existential risk factor</td></tr><tr><td>Source:</td><td>[no source]</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1145/3514094.3534146	-0.3695	-0.0501	1	305	20	11	2.7612	2022	11	2.7612
37	adrian currie (2018)	"<table><tr><td>Authors:</td><td>adrian currie; seán ó héigeartaigh</td></tr><tr><td>Title:</td><td>working together to face humanity’s greatest threats: introduction to the future of research on catastrophic and existential risk</td></tr><tr><td>Source:</td><td>futures, 102, 1-5</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2018.07.003	-0.372	0.0302	3	184	12	15	1.0307	2018	15	1.0307
38	karina vold (2021)	"<table><tr><td>Authors:</td><td>karina vold; daniel r. harris</td></tr><tr><td>Title:</td><td>how does artificial intelligence pose an existential risk?</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 724-747</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oxfordhb/9780198857815.013.36	-0.3748	-0.0566	1	393	34	11	1.4377	2021	11	1.4377
39	russell blong (2021)	"<table><tr><td>Authors:</td><td>russell blong</td></tr><tr><td>Title:</td><td>four global catastrophic risks – a personal view</td></tr><tr><td>Source:</td><td>frontiers in earth science, 9</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.3389/feart.2021.740695	-0.3967	0.0711	2	100	32	5	0.6535	2021	5	0.6535
40	anthony m. barrett (2017a)	"<table><tr><td>Authors:</td><td>anthony m. barrett</td></tr><tr><td>Title:</td><td>value of global catastrophic risk (gcr) information: cost-effectiveness-based approach for gcr reduction</td></tr><tr><td>Source:</td><td>decision analysis, 14(3), 187-203</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1287/deca.2017.0350	-0.3643	0.0235	3	219	29	10	0.6653	2017	10	0.6653
41	james d. miller (2017)	"<table><tr><td>Authors:</td><td>james d. miller; debbie felton</td></tr><tr><td>Title:</td><td>the fermi paradox, bayes’ rule, and existential risk management</td></tr><tr><td>Source:</td><td>futures, 86, 44-57</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2016.06.008	-0.3505	-0.016	3	250	19	9	0.5988	2017	9	0.5988
42	vincent c. müller (2021)	"<table><tr><td>Authors:</td><td>vincent c. müller; michael w. cannon</td></tr><tr><td>Title:</td><td>existential risk from ai and orthogonality: can we have it both ways?</td></tr><tr><td>Source:</td><td>ratio, 35(1), 25-36</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1111/rati.12320	-0.3912	-0.0416	1	450	27	10	1.307	2021	10	1.307
43	alessio ciullo (2023)	"<table><tr><td>Authors:</td><td>alessio ciullo; eric strobl; simona meiler; olivia martius; david n. bresch</td></tr><tr><td>Title:</td><td>increasing countries’ financial resilience through global catastrophe risk pooling</td></tr><tr><td>Source:</td><td>nature communications, 14(1)</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1038/s41467-023-36539-4	-0.3734	0.0736	2	1	1	15	11.614	2023	15	11.614
46	seth d. baum (2013a)	"<table><tr><td>Authors:</td><td>seth d. baum; grant wilson</td></tr><tr><td>Title:</td><td>the ethics of global catastrophic risk from dual-use bioengineering</td></tr><tr><td>Source:</td><td>ethics in biology, engineering, & medicine, 4(1), 59-72</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1615/ethicsbiologyengmed.2013007629	-0.378	0.0209	3	210	25	5	0.1532	2013	5	0.1532
50	scott janzwood (2021a)	"<table><tr><td>Authors:</td><td>scott janzwood</td></tr><tr><td>Title:</td><td>r&amp;d priority-setting for global catastrophic risks: the case of the nasa planetary defense mission</td></tr><tr><td>Source:</td><td>research policy, 50(6), 104225-104225</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.respol.2021.104225	-0.3653	0.0311	3	191	21	8	1.0456	2021	8	1.0456
51	seth d. baum (2018a)	"<table><tr><td>Authors:</td><td>seth d. baum; anthony m. barrett</td></tr><tr><td>Title:</td><td>towards an integrated assessment of global catastrophic risk</td></tr><tr><td>Source:</td><td>social science research network</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"		-0.3719	0.0036	3	255	21	3	0.2061	2018	3	0.2061
53	seth d. baum (2008)	"<table><tr><td>Authors:</td><td>seth d. baum</td></tr><tr><td>Title:</td><td><i>global catastrophic risks</i> edited by nick bostrom &amp; milan ćirković</td></tr><tr><td>Source:</td><td>risk analysis, 29(1), 155-156</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/https://doi.org/10.1111/j.1539-6924.2008.01162.x	-0.3634	0.0102	3	79	4	5	0.2238	2008	5	0.2238
54	vladimir a. fomichov (2014)	"<table><tr><td>Authors:</td><td>vladimir a. fomichov; olga s. fomichova</td></tr><tr><td>Title:</td><td>an imperative of a poorly recognized existential risk: early socialization of smart young generation in information society</td></tr><tr><td>Source:</td><td>computing, 38(1), 59-70</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"		-0.3853	-0.0658	9	74	4	8	0.403	2014	8	0.403
55	simon beard (2020a)	"<table><tr><td>Authors:</td><td>simon beard; phil torres</td></tr><tr><td>Title:</td><td>ripples on the great sea of life: a brief history of existential risk studies</td></tr><tr><td>Source:</td><td>social science research network</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.2139/ssrn.3730000	-0.376	-0.0125	3	538	54	7	0.5267	2020	7	0.5267
58	richard black (2022)	"<table><tr><td>Authors:</td><td>richard black; joshua w. busby; geoffrey d. dabelko; cedric de coning; hafsa maalim; claire mcallister; melvis ndiloseh; dan smith; josé francisco alvarado cóbar; anniek barnhoorn; noah bell; daniel bell-moran; emilie broek; alexis eberlein; karolina eklöw; jakob faller; andrea gadnert; farah hegazi; kyungmee kim; florian krampe; david melodelima; corey pattison; caleb ray; elise remling; evelyn salas alfaro; elizabeth smith; jürg a. staudenmann</td></tr><tr><td>Title:</td><td>environment of peace: security in a new era of risk</td></tr><tr><td>Source:</td><td>[no source]</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.55163/lcls7037	-0.4333	0.0794	2	38	24	148	37.1502	2022	148	37.1502
59	matt boyd (2020)	"<table><tr><td>Authors:</td><td>matt boyd; nick wilson</td></tr><tr><td>Title:</td><td>existential risks to humanity should concern international policymakers and more could be done in considering them at the international governance level</td></tr><tr><td>Source:</td><td>risk analysis, 40(11), 2303-2312</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1111/risa.13566	-0.365	0.026	3	256	23	8	0.6019	2020	8	0.6019
61	joão ribeiro mendes (2021)	"<table><tr><td>Authors:</td><td>joão ribeiro mendes</td></tr><tr><td>Title:</td><td>does the sustainability of the anthropocene technosphere imply an existential risk for our species? thinking with peter haff</td></tr><tr><td>Source:</td><td>social sciences, 10(8), 314-314</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.3390/socsci10080314	-0.3924	0.0092	3	68	12	3	0.3921	2021	3	0.3921
62	klaus solberg søilen (2011)	"<table><tr><td>Authors:</td><td>klaus solberg søilen; philip b. alipour</td></tr><tr><td>Title:</td><td>semantics, classifications and evidence in a model for global catastrophic risks</td></tr><tr><td>Source:</td><td>knowledge organization, 38(5), 438-454</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"		-0.3718	0.018	3	53	4	6	0.098	2011	6	0.098
64	seth d. baum (2015a)	"<table><tr><td>Authors:</td><td>seth d. baum; david denkenberger; joshua m. pearce; alan robock; richelle winkler</td></tr><tr><td>Title:</td><td>resilience to global food supply catastrophes</td></tr><tr><td>Source:</td><td>environment systems & decisions, 35(2), 301-313</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10669-015-9549-2	-0.3595	0.0514	11	240	38	48	4.3498	2015	48	4.3498
65	justin b. bullock (2019)	"<table><tr><td>Authors:</td><td>justin b. bullock</td></tr><tr><td>Title:</td><td>artificial intelligence, discretion, and bureaucracy</td></tr><tr><td>Source:</td><td>american review of public administration, 49(7), 751-761</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1177/0275074019856123	-0.414	-0.0468	1	91	9	134	11.6372	2019	134	11.6372
66	joseph gottlieb (2022)	"<table><tr><td>Authors:</td><td>joseph gottlieb</td></tr><tr><td>Title:</td><td>discounting, buck-passing, and existential risk mitigation: the case of space colonization</td></tr><tr><td>Source:</td><td>space policy, 60, 101486-101486</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.spacepol.2022.101486	-0.3592	0.0037	3	271	23	5	1.2551	2022	5	1.2551
67	christos lynteris (2018a)	"<table><tr><td>Authors:</td><td>christos lynteris</td></tr><tr><td>Title:</td><td>plague masks: the visual emergence of anti-epidemic personal protection equipment</td></tr><tr><td>Source:</td><td>medical anthropology, 37(6), 442-457</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1080/01459740.2017.1423072	-0.4789	0.0087	5	4	4	78	5.3594	2018	78	5.3594
68	luiz marques (2020)	"<table><tr><td>Authors:</td><td>luiz marques</td></tr><tr><td>Title:</td><td>pandemics, existential and non-existential risks to humanity</td></tr><tr><td>Source:</td><td>ambiente & sociedade, 23</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1590/1809-4422asoc20200126vu2020l3id	-0.4074	0.0626	2	8	1	3	0.2257	2020	3	0.2257
69	pasquale cirillo (2020)	"<table><tr><td>Authors:</td><td>pasquale cirillo; nassim nicholas taleb</td></tr><tr><td>Title:</td><td>tail risk of contagious diseases</td></tr><tr><td>Source:</td><td>nature physics, 16(6), 606-613</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1038/s41567-020-0921-x	-0.3445	-0.0565	9	2	2	89	6.6962	2020	89	6.6962
70	penny edgell (2017)	"<table><tr><td>Authors:</td><td>penny edgell; jacqui frost; evan stewart</td></tr><tr><td>Title:</td><td>from existential to social understandings of risk: examining gender differences in nonreligion</td></tr><tr><td>Source:</td><td>social currents, 4(6), 556-574</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1177/2329496516686619	-0.6694	-0.0812	8	7	21	52	3.4596	2017	52	3.4596
71	karin kuhlemann (2019)	"<table><tr><td>Authors:</td><td>karin kuhlemann</td></tr><tr><td>Title:</td><td>complexity, creeping normalcy and conceit: sexy and unsexy catastrophic risks</td></tr><tr><td>Source:</td><td>foresight, 21(1), 35-52</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1108/fs-05-2018-0047	-0.4029	0.0086	3	173	16	15	1.3027	2019	15	1.3027
74	seth d. baum (2013b)	"<table><tr><td>Authors:</td><td>seth d. baum; timothy m. maher; jacob haqq-misra</td></tr><tr><td>Title:</td><td>double catastrophe: intermittent stratospheric geoengineering induced by societal collapse</td></tr><tr><td>Source:</td><td>environment systems & decisions, 33(1), 168-180</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10669-012-9429-y	-0.3791	0.0472	3	238	54	71	2.1754	2013	71	2.1754
75	kjell hole (2023)	<table><tr><td>Authors:</td><td>kjell hole</td></tr><tr><td>Title:</td><td>tools with general ai and no existential risk</td></tr><tr><td>Source:</td><td>ai and ethics</td></tr><tr><td>Year:</td><td>2023</td></tr></table>	https://doi.org/https://doi.org/10.1007/s43681-023-00271-y	-0.3451	-0.0465	1	186	14	2	1.5485	2023	2	1.5485
78	catherine e. richards (2021)	"<table><tr><td>Authors:</td><td>catherine e. richards; rick lupton; julian m. allwood</td></tr><tr><td>Title:</td><td>re-framing the threat of global warming: an empirical causal loop diagram of climate change, food insecurity and societal collapse</td></tr><tr><td>Source:</td><td>climatic change, 164(3-4)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10584-021-02957-w	-0.4005	0.0451	2	351	48	69	9.0185	2021	69	9.0185
79	len fisher (2022a)	"<table><tr><td>Authors:</td><td>len fisher; anders sandberg</td></tr><tr><td>Title:</td><td>a safe governance space for humanity: necessary conditions for the governance of global catastrophic risks</td></tr><tr><td>Source:</td><td>global policy, 13(5), 792-807</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1111/1758-5899.13030	-0.4251	0.0487	2	296	43	2	0.502	2022	2	0.502
81	vojin rakić (2016)	"<table><tr><td>Authors:</td><td>vojin rakić; milan m. ćirković</td></tr><tr><td>Title:</td><td>confronting existential risks with voluntary moral bioenhancement</td></tr><tr><td>Source:</td><td>journal of ethics and emerging technologies, 26(2), 48-59</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.55613/jeet.v26i2.59	-0.3817	-0.0199	9	247	20	2	0.0948	2016	2	0.0948
